Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;03 Alicante/Alacant;0 años;Hombres;1 de enero de 2019;7.274
Total Nacional;03 Alicante/Alacant;0 años;Mujeres;1 de enero de 2019;6.823
Total Nacional;03 Alicante/Alacant;1 año;Hombres;1 de enero de 2019;7.946
Total Nacional;03 Alicante/Alacant;1 año;Mujeres;1 de enero de 2019;7.513
Total Nacional;03 Alicante/Alacant;2 años;Hombres;1 de enero de 2019;8.357
Total Nacional;03 Alicante/Alacant;2 años;Mujeres;1 de enero de 2019;7.655
Total Nacional;03 Alicante/Alacant;3 años;Hombres;1 de enero de 2019;8.734
Total Nacional;03 Alicante/Alacant;3 años;Mujeres;1 de enero de 2019;8.099
Total Nacional;03 Alicante/Alacant;4 años;Hombres;1 de enero de 2019;8.694
Total Nacional;03 Alicante/Alacant;4 años;Mujeres;1 de enero de 2019;8.316
Total Nacional;03 Alicante/Alacant;5 años;Hombres;1 de enero de 2019;8.850
Total Nacional;03 Alicante/Alacant;5 años;Mujeres;1 de enero de 2019;8.123
Total Nacional;03 Alicante/Alacant;6 años;Hombres;1 de enero de 2019;9.124
Total Nacional;03 Alicante/Alacant;6 años;Mujeres;1 de enero de 2019;8.730
Total Nacional;03 Alicante/Alacant;7 años;Hombres;1 de enero de 2019;9.584
Total Nacional;03 Alicante/Alacant;7 años;Mujeres;1 de enero de 2019;8.771
Total Nacional;03 Alicante/Alacant;8 años;Hombres;1 de enero de 2019;9.898
Total Nacional;03 Alicante/Alacant;8 años;Mujeres;1 de enero de 2019;9.174
Total Nacional;03 Alicante/Alacant;9 años;Hombres;1 de enero de 2019;10.111
Total Nacional;03 Alicante/Alacant;9 años;Mujeres;1 de enero de 2019;9.488
Total Nacional;03 Alicante/Alacant;10 años;Hombres;1 de enero de 2019;10.767
Total Nacional;03 Alicante/Alacant;10 años;Mujeres;1 de enero de 2019;10.223
Total Nacional;03 Alicante/Alacant;11 años;Hombres;1 de enero de 2019;10.394
Total Nacional;03 Alicante/Alacant;11 años;Mujeres;1 de enero de 2019;9.829
